"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"129","Cam Reddish","Por","F-G","23.5","14","29.7","18.7","15.2","32","0.844","64","0.578","75","0.347","0.547","0.585","12.8","3.1","2.5","1.4","0.2","1.8","15.9","15.3","18.4","6.2","110.6","114"
"130","John Collins","Atl","F-C","25.5","59","30.2","16.9","10.8","140","0.821","392","0.628","188","0.25","0.546","0.583","12.7","6.6","1.2","0.6","1.1","1.2","19.3","13.9","20.5","6.2","113.9","107.5"
"131","Dennis Schroder","Lal","G","29.5","56","30.7","18.4","14.6","211","0.872","365","0.46","195","0.328","0.471","0.545","12.7","2.5","4.6","0.8","0.1","1.7","15.2","17.3","19.8","6.9","111.1","111.2"
"132","Malik Beasley","Lal","G","26.3","14","26.8","21.3","9.2","10","0.7","52","0.442","116","0.353","0.503","0.51","12.6","3.5","1.4","1.1","0","1.2","16.1","14","17.5","5.9","97.7","110.5"
"133","Tre Jones","San","G","23.2","56","29.1","19.8","13.1","136","0.882","486","0.49","136","0.265","0.469","0.516","12.6","3.5","6.2","1.3","0.1","1.7","16.1","18.8","22.3","8.9","113","118.5"
"134","Nic Claxton","Bro","F-C","23.9","65","29.5","15.6","14.6","218","0.523","490","0.71","2","0","0.707","0.689","12.5","9.2","1.8","0.8","2.5","1.3","21.7","14.3","23.5","8","132.5","105"
"135","Jabari Smith Jr.","Hou","F","19.8","66","30.5","18.4","11.3","173","0.775","386","0.482","341","0.311","0.475","0.513","12.5","7.1","1.3","0.5","0.9","1.4","19.6","13.7","20.8","6.4","105.8","111.2"
"136","Cole Anthony","Orl","G","22.8","50","25.4","21.2","13.2","146","0.884","322","0.491","164","0.354","0.504","0.562","12.4","4.5","4","0.6","0.5","1.5","16.9","16.3","20.8","9.6","116.1","106.9"
"137","Kenyon Martin Jr.","Hou","F","22.2","69","27.3","16.7","12.2","180","0.667","412","0.682","184","0.31","0.615","0.632","12.4","5.6","1.6","0.5","0.4","1.2","18","13.9","19.5","7","123.5","115.3"
"138","Mason Plumlee","Cha","F-C","33","56","28.5","15.6","17.8","256","0.605","396","0.669","0","0","0.669","0.673","12.2","9.6","3.7","0.6","0.6","1.5","21.9","15.9","25.5","10.6","134.1","106.6"
"139","Lonnie Walker IV","Lal","G-F","24.3","51","24.5","20.2","8.3","102","0.873","269","0.52","237","0.359","0.529","0.566","12.2","2","1.2","0.5","0.3","0.9","14.3","13.5","15.5","5","110","113.2"
"140","Thomas Bryant","Lal","C-F","25.6","41","21.3","18.2","8.5","108","0.741","251","0.697","50","0.44","0.691","0.712","12.1","6.8","0.7","0.3","0.6","0.7","18.9","12.8","19.6","7.3","138.2","105.4"
"141","Bones Hyland","Den","G","22.5","42","19.5","28.5","13.4","82","0.866","193","0.425","241","0.378","0.503","0.54","12.1","2","3","0.7","0.3","1.6","14.1","15.1","17.1","8.6","106.2","110.2"
"142","Jakob Poeltl","San","C","27.4","46","26.1","18.7","19.8","129","0.605","387","0.618","1","0","0.616","0.625","12.1","9","3.1","0.8","1.1","2.1","21.1","15.2","24.2","10.7","119.4","110.5"
"143","Clint Capela","Atl","C","28.8","53","26.7","16.1","8.9","98","0.592","451","0.639","1","0","0.637","0.64","12","11","0.8","0.7","1.2","0.8","23","12.8","23.8","7.1","135.4","107.8"
"144","Jordan Nwora","Ind","F","24.5","12","22.2","21.7","11.6","19","0.632","64","0.563","50","0.4","0.579","0.588","12","4.1","2.2","0.9","0.3","1.3","16.1","14.2","18.3","8.6","112.7","114.7"
"145","Kelly Olynyk","Uta","F-C","31.9","57","28.2","17.2","22.3","186","0.839","252","0.575","198","0.399","0.586","0.642","12","5.5","3.3","0.9","0.6","2.3","17.5","15.3","20.8","8.5","118.4","105.7"
"146","Derrick White","Bos","G","28.7","70","28","17.5","10.5","154","0.87","317","0.546","322","0.376","0.555","0.596","12","3.4","3.9","0.7","0.9","1.1","15.4","15.9","19.3","7.7","124.3","107.8"
"147","Caris LeVert","Cle","G","28.6","66","30.1","19.1","13.6","160","0.719","387","0.45","284","0.377","0.499","0.529","11.9","3.9","4","0.9","0.3","1.6","15.8","15.9","19.8","7.6","109.3","106.7"
"148","Kyle Lowry","Mia","G","37","47","32.8","17","17.3","120","0.85","162","0.506","283","0.343","0.511","0.559","11.9","4.2","5.2","1.1","0.4","2","16","17","21.2","7.8","113.3","107.1"
"149","Jaden McDaniels","Min","F","22.5","67","30.7","15.3","13.8","114","0.728","368","0.606","223","0.381","0.593","0.611","11.7","3.9","2","0.9","1","1.4","15.6","13.7","17.5","5.9","115.8","107.6"
"150","Max Strus","Mia","G-F","27","69","29","17.7","8.1","86","0.884","207","0.56","494","0.338","0.523","0.547","11.7","3.4","2.2","0.6","0.2","0.9","15.1","13.9","17.3","6.1","111.9","109.4"
"151","Kris Dunn","Uta","G","29","9","22.2","21.2","14.7","14","0.786","62","0.581","19","0.368","0.574","0.597","11.6","4.8","4.8","1.6","0.6","1.6","16.3","16.3","21.1","11.6","122.4","101.5"
"152","Marcus Morris Sr.","Lac","F","33.5","60","28.2","17.9","8.1","84","0.786","314","0.478","290","0.376","0.519","0.541","11.6","4","1.8","0.6","0.4","0.9","15.6","13.3","17.3","6.2","109.1","110.1"
"153","Keegan Murray","Sac","F","22.6","67","29.5","15.5","8","74","0.797","229","0.511","399","0.404","0.571","0.587","11.6","4.6","1.1","0.8","0.5","0.8","16.2","12.7","17.3","5.3","116.4","112.4"
"154","Austin Reaves","Lal","G","24.8","52","27.6","15.3","16.7","179","0.86","196","0.622","174","0.385","0.601","0.667","11.5","2.9","2.8","0.6","0.3","1.4","14.4","14.3","17.2","6.6","125.5","112.5"
"155","Josh Richardson","San","G","29.5","42","23.7","20.6","13.4","60","0.883","199","0.518","207","0.357","0.527","0.556","11.5","2.8","3.3","1","0.3","1.5","14.3","14.7","17.5","8","111","116.6"
"156","John Wall","Lac","G","32.5","34","22.2","27.1","19.1","113","0.681","229","0.459","109","0.303","0.457","0.498","11.4","2.7","5.2","0.8","0.4","2.4","14.1","16.6","19.3","9.8","102.1","109.6"
"157","Marvin Bagley III","Det","F","24","33","22.6","20.4","11.1","78","0.718","244","0.586","45","0.222","0.547","0.575","11.3","6.7","0.7","0.4","0.8","1.1","18","12","18.7","6.6","116.1","111.1"
"158","Saddiq Bey","Atl","F","23.9","12","26.2","14.7","6.7","13","0.923","39","0.513","58","0.483","0.639","0.662","11.3","4.1","0.8","0.7","0.1","0.6","15.4","12.2","16.3","5.1","131.2","113.1"
"159","Marcus Smart","Bos","G","29","53","32.4","17.6","20","103","0.757","230","0.509","287","0.331","0.502","0.531","11.3","3.3","6.4","1.5","0.4","2.4","14.5","17.7","21","7.7","109.6","106.5"
"160","Isaiah Stewart","Det","F-C","21.8","50","28.3","17.2","13.4","149","0.738","236","0.542","205","0.327","0.518","0.56","11.3","8.1","1.4","0.4","0.7","1.4","19.4","12.7","20.8","7.1","113.7","110.4"
"161","Kentavious Caldwell-Pope","Den","G","30.1","67","31.6","14.1","11.8","110","0.836","278","0.511","284","0.44","0.586","0.615","11.2","2.8","2.5","1.5","0.5","1.1","14","13.7","16.5","5.4","119.6","111.9"
"162","Mike Conley","Min","G","35.4","12","30.8","15.6","11.9","21","0.857","47","0.468","64","0.375","0.523","0.557","11.2","3.1","4.9","1.2","0.2","1.3","14.3","16.1","19.2","7.2","119.5","115.1"
"163","Cameron Payne","Pho","G","28.6","38","21.6","25","16","57","0.754","221","0.452","163","0.374","0.499","0.521","11.2","2.2","4.7","0.8","0.2","1.9","13.4","15.9","18.1","9","105.9","108.6"
"164","Josh Hart","Nyk","G","28","14","30.2","13.4","20.6","37","0.757","58","0.603","34","0.559","0.69","0.716","11.1","7.1","3.9","1.2","0.4","1.7","18.1","14.9","22","8.9","135.5","105.6"
"165","Jeremy Sochan","San","F","19.8","54","26.4","19.8","15","114","0.702","409","0.516","128","0.25","0.482","0.509","11.1","5.3","2.6","0.8","0.4","1.8","16.4","13.6","18.9","8.1","103","113.4"
"166","Bruce Brown","Den","G-F","26.6","69","28.2","17.3","14.8","104","0.74","390","0.546","231","0.368","0.548","0.568","11","4","3.3","1.1","0.6","1.6","15","14.3","18.4","7.5","111.8","108.9"
"167","Moritz Wagner","Orl","F-C","25.9","49","20.4","20.8","13.5","161","0.839","207","0.633","150","0.313","0.564","0.629","11","4.7","1.6","0.7","0.2","1.1","15.7","12.6","17.3","8.5","124","103.3"
"168","Reggie Jackson","Lac","G","32.9","52","25.7","20.8","15.8","66","0.924","292","0.469","220","0.35","0.493","0.523","10.9","2.2","3.5","0.7","0.1","1.8","13.1","14.4","16.6","6.8","103.2","112"
"169","Jaylen Nowell","Min","G","23.7","62","19.5","24.9","9.4","97","0.784","374","0.537","224","0.295","0.502","0.528","10.9","2.6","2","0.6","0.1","1","13.5","12.9","15.6","7.9","106.3","110.9"
"170","Zach Collins","San","F-C","25.3","56","22.1","20.5","19.2","121","0.76","337","0.567","114","0.386","0.57","0.601","10.8","6.2","2.8","0.5","0.7","1.9","17","13.6","19.8","10.4","113.7","106.8"
"171","Grayson Allen","Mil","G","27.4","64","27.9","14.7","11.9","115","0.904","177","0.52","328","0.405","0.577","0.618","10.7","3.3","2.3","0.8","0.2","1.1","14.1","13.1","16.4","6.2","124.1","109.3"
"172","Mike Conley","Uta","G","35.4","43","29.7","16.1","16.5","96","0.813","162","0.469","213","0.362","0.511","0.552","10.7","2.5","7.7","1","0.2","1.7","13.2","18.4","20.9","8","123.4","113.6"
"173","Naz Reid","Min","C-F","23.6","61","18","24","14.6","107","0.673","295","0.651","191","0.34","0.596","0.611","10.7","4.9","1.1","0.6","0.8","1.4","15.6","11.8","16.7","8.6","111.6","99.8"
"174","Eric Gordon","Lac","G","34.2","11","25.3","16.5","8.4","23","0.783","35","0.514","52","0.404","0.569","0.602","10.6","1.7","2.3","0.7","0.5","0.7","12.4","12.9","14.6","5.5","121.9","112.6"
"175","Jalen McDaniels","Cha","F-C","25.1","56","26.7","17.4","13.8","104","0.846","292","0.534","202","0.322","0.513","0.551","10.6","4.8","2","1.2","0.5","1.4","15.4","12.6","17.4","7","106.7","106.8"
"176","Cam Thomas","Bro","G","21.4","51","16.5","27.6","12","162","0.858","280","0.464","116","0.379","0.495","0.568","10.4","1.7","1.4","0.4","0.1","1.1","12.1","11.8","13.6","7.1","108.8","114"
"177","Ivica Zubac","Lac","C","26","64","29.1","14.3","20.2","197","0.711","416","0.63","2","0","0.627","0.658","10.4","10.1","1.1","0.4","1.3","1.7","20.5","11.4","21.5","6.7","125.7","104.9"
"178","Monte Morris","Was","G","27.7","55","27.8","15.4","11.2","70","0.814","271","0.542","180","0.394","0.562","0.585","10.3","3.5","5.2","0.7","0.2","1","13.8","15.5","19","8.2","125.2","114"
"179","Victor Oladipo","Mia","G","30.9","37","27","20","17.6","71","0.761","170","0.471","177","0.316","0.473","0.505","10.3","3.2","3.4","1.4","0.3","2","13.5","13.8","16.9","7.1","98.3","105.2"
"180","Tyus Jones","Mem","G","26.9","68","23.5","18","9.7","85","0.824","326","0.488","269","0.375","0.522","0.546","10.2","2.3","4.7","1","0.1","0.9","12.5","14.9","17.2","8.2","120.7","113.9"
"181","Caleb Martin","Mia","F","27.5","60","29.7","14.7","12.5","100","0.8","271","0.542","210","0.376","0.552","0.582","10.2","4.9","1.6","1","0.5","1.2","15.1","11.8","16.7","5.8","114.2","108.3"
"182","Patrick Williams","Chi","F","21.6","68","28.6","15.4","13.1","87","0.862","330","0.509","228","0.417","0.556","0.584","10.2","4.1","1.3","0.9","0.8","1.2","14.4","11.5","15.7","5.3","110.5","110"
"183","Rui Hachimura","Lal","F","25.1","22","23.9","17","6.3","48","0.729","128","0.531","51","0.333","0.522","0.555","10.1","4.7","0.6","0.2","0.4","0.5","14.8","10.7","15.4","5.1","113.6","114.2"
"184","De'Anthony Melton","Phi","G","24.8","65","27.9","16.3","13.6","70","0.8","206","0.471","339","0.401","0.552","0.571","10.1","4.1","2.7","1.6","0.6","1.3","14.2","12.8","16.9","6.9","112.6","105.9"
"185","Brandon Clarke","Mem","F","26.5","56","19.5","17.6","13.6","137","0.723","343","0.665","6","0.167","0.658","0.682","10","5.5","1.3","0.6","0.7","1","15.5","11.3","16.8","8.5","131","99.9"
"186","Doug McDermott","San","F","31.2","59","20.7","18.8","10.8","56","0.714","205","0.512","267","0.427","0.585","0.596","10","2.2","1.5","0.2","0.1","1","12.2","11.5","13.7","6.2","112.8","116.7"
"187","Seth Curry","Bro","G","32.6","52","21.3","19.4","10.4","48","0.979","199","0.533","215","0.4","0.568","0.594","9.9","1.8","1.8","0.7","0.1","0.9","11.8","11.8","13.6","6","112.9","112.3"
"188","Aaron Nesmith","Ind","G-F","23.4","61","24.8","16.6","10.6","113","0.85","226","0.5","262","0.355","0.517","0.559","9.9","3.8","1.2","0.8","0.4","1","13.7","11.1","14.9","5.7","110.8","107.5"
"189","Quentin Grimes","Nyk","G","22.9","60","29.3","13.8","11.8","81","0.79","154","0.636","311","0.354","0.566","0.589","9.8","3.1","1.9","0.6","0.4","1","13","11.7","14.9","5.3","118.3","109.6"
"190","Al Horford","Bos","C-F","36.8","55","31","11.7","6.9","19","0.737","142","0.542","274","0.453","0.632","0.636","9.8","6.2","2.8","0.5","0.9","0.6","16","12.7","18.9","7.1","134","109"
"191","Corey Kispert","Was","F","24","61","27.5","13","9.3","65","0.877","145","0.641","283","0.42","0.634","0.657","9.8","2.7","1.2","0.5","0.1","0.7","12.5","11","13.7","4.6","124.4","115.7"
"192","Herbert Jones","Nor","F","24.4","53","29","15","14.5","133","0.744","273","0.535","140","0.293","0.502","0.545","9.7","4.1","2.4","1.6","0.6","1.3","13.8","12.1","16.1","6.3","111.7","104.3"
"193","Jalen Suggs","Orl","G","21.8","45","23.7","20.2","18","101","0.703","207","0.502","167","0.311","0.487","0.52","9.7","3","3.2","1.3","0.5","1.8","12.6","12.8","15.8","7.6","104.2","107"
"194","Killian Hayes","Det","G","21.6","65","27.2","20.3","17.4","71","0.789","433","0.423","241","0.282","0.423","0.444","9.6","2.7","6.1","1.4","0.4","2.2","12.4","15.7","18.4","8","97.2","110.4"
"195","Eugene Omoruyi","Det","F","26.1","8","21.1","18.7","7.2","13","0.769","43","0.605","21","0.238","0.523","0.552","9.6","3.3","0.9","0.9","0.1","0.6","12.9","10.5","13.8","5.8","116","106.7"
"196","Josh Green","Dal","G","22.3","50","25.5","15.2","15.2","86","0.709","181","0.635","149","0.416","0.63","0.648","9.5","3","1.8","0.7","0.1","1.2","12.5","11.4","14.3","5.8","121.9","108.7"
"197","Josh Hart","Por","G","28","51","33.4","12.7","17.9","119","0.731","251","0.594","112","0.304","0.551","0.586","9.5","8.2","3.9","1.1","0.2","1.5","17.7","13.5","21.6","8.1","122.2","110.8"
"198","Naji Marshall","Nor","F","25.1","64","24.8","17.4","14.3","148","0.791","295","0.512","201","0.308","0.492","0.539","9.5","3.8","2.5","0.7","0.2","1.3","13.3","12","15.8","7.2","108.8","110.5"
"199","Landry Shamet","Pho","G","26","30","21.4","19.4","10.6","45","0.911","80","0.388","163","0.374","0.504","0.544","9.5","1.7","2.2","0.6","0.2","1","11.2","11.8","13.5","6.1","111.4","111.8"
"200","Gabe Vincent","Mia","G","26.8","57","26.3","17.5","15.1","71","0.887","180","0.511","299","0.328","0.499","0.53","9.5","2.2","2.5","0.9","0.1","1.5","11.7","11.9","14.1","5.7","102.6","106.7"
"201","T.J. Warren","Bro","F","29.5","26","18.9","21","7.8","33","0.818","152","0.566","48","0.333","0.55","0.576","9.5","2.8","1.1","0.6","0.3","0.7","12.3","10.6","13.4","6.5","112.3","109.2"
"202","Chris Boucher","Tor","F-C","30.2","64","19.9","18.1","7.3","147","0.741","282","0.596","161","0.329","0.559","0.595","9.4","5.7","0.4","0.6","0.8","0.5","15.1","9.8","15.5","5.6","126.1","106.7"
"203","Josh Richardson","Nor","G","29.5","10","25.7","16.1","10.2","20","0.75","34","0.5","45","0.333","0.5","0.535","9.4","2.4","1.8","2.3","0.7","0.9","11.8","11.2","13.6","5.3","108.8","103.7"
"204","Precious Achiuwa","Tor","F","23.5","45","21.8","18.9","13.2","114","0.702","252","0.544","83","0.253","0.503","0.541","9.3","6.1","1","0.6","0.6","1.1","15.4","10.2","16.3","7.1","110.6","107.3"
"205","Santi Aldama","Mem","F-C","22.2","65","22","16.1","9.7","120","0.725","220","0.605","237","0.35","0.563","0.59","9.3","4.6","1.3","0.6","0.7","0.8","13.9","10.5","15.2","6.9","119.9","104.8"
"206","Malaki Branham","San","F","19.8","53","22.5","18.2","12.2","52","0.808","252","0.548","187","0.31","0.513","0.533","9.3","2.5","2","0.5","0.1","1.2","11.8","11.3","13.8","6.4","104.6","116.7"
"207","Hamidou Diallo","Det","G","24.6","56","17.8","21.8","15.9","148","0.588","354","0.593","21","0.238","0.58","0.593","9.3","3.5","1","0.9","0.3","1.3","12.8","10.3","13.8","7.2","109.5","106.8"
"208","Donte DiVincenzo","Gol","G","26.1","60","26.6","14.8","16.1","51","0.843","135","0.481","319","0.404","0.569","0.588","9.3","4.4","3.4","1.3","0.2","1.5","13.8","12.7","17.1","7.8","116.3","110.3"
"209","Onyeka Okongwu","Atl","F-C","22.3","67","23.5","14.4","14.3","149","0.745","399","0.637","7","0.286","0.633","0.663","9.3","7.2","1","0.7","1.2","1","16.6","10.4","17.6","6.9","132.4","103.3"
"210","Terrence Ross","Pho","G-F","32.1","9","18.5","19.1","4.1","6","0.833","25","0.56","44","0.386","0.572","0.586","9.3","2.4","1.7","0.8","0","0.3","11.8","11","13.4","7.3","124.3","100.3"
"211","Jae'Sean Tate","Hou","F","27.4","29","21.8","19.1","17","64","0.734","175","0.531","44","0.273","0.507","0.544","9.3","3.8","2.6","0.7","0.2","1.6","13.1","11.9","15.7","8.3","110.1","105.3"
"212","Bol Bol","Orl","C-F","23.3","65","21.8","17.7","19.1","100","0.76","340","0.644","97","0.299","0.601","0.625","9.2","5.9","0.9","0.4","1.3","1.6","15.2","10.2","16.1","6.7","109","109.8"
"213","Jonathan Kuminga","Gol","F","20.4","55","20.1","19.8","17.6","102","0.667","276","0.576","117","0.342","0.557","0.578","9.2","3.3","1.8","0.6","0.4","1.5","12.5","11","14.2","7.6","107.1","106.9"
"214","Jalen Smith","Ind","F-C","23","58","18.5","21.3","12.8","118","0.763","258","0.589","170","0.276","0.52","0.557","9.2","5.7","1","0.3","0.9","1.1","15","10.2","15.9","8.1","112","107"
"215","Kyle Anderson","Min","F-G","29.5","57","27.2","14.2","17.8","121","0.76","298","0.54","81","0.432","0.563","0.6","9.1","5.1","4.5","1.1","0.9","1.4","14.2","13.6","18.7","8.7","121.7","108.6"
"216","Dorian Finney-Smith","Dal","F","29.9","40","32.2","12.8","10.4","40","0.75","93","0.559","217","0.355","0.54","0.557","9.1","4.7","1.5","1","0.5","0.9","13.8","10.6","15.3","5","115.6","113.2"
"217","Terance Mann","Lac","G-F","26.4","69","23.4","15.4","12.6","99","0.778","292","0.606","166","0.392","0.599","0.624","9.1","3.6","2.3","0.5","0.3","1","12.7","11.3","14.9","7.2","124.6","110.2"
"218","Jose Alvarado","Nor","G","24.9","61","21.5","19.7","14.2","80","0.813","242","0.488","247","0.336","0.496","0.525","9","2.3","3","1.1","0.2","1.3","11.3","12.1","14.4","7.4","106.5","106.5"
"219","Ayo Dosunmu","Chi","G","23.2","66","27.1","14.8","15.1","74","0.811","323","0.585","161","0.317","0.549","0.572","9","2.9","2.7","0.7","0.3","1.3","11.9","11.6","14.6","6.1","111","108"
"220","Tari Eason","Hou","F","21.9","69","20.6","19.4","13","121","0.736","395","0.486","138","0.362","0.501","0.531","9","5.8","1","1.1","0.6","1.2","14.8","10","15.8","7.3","110.4","107.5"
"221","Talen Horton-Tucker","Uta","G","22.3","55","18.5","23.9","18.1","109","0.771","284","0.493","154","0.286","0.47","0.51","9","2.9","3.3","0.6","0.5","1.8","11.9","12.3","15.2","9.5","103.5","110.6"
"222","Isaiah Joe","Okc","G","23.7","62","18","17.2","6.7","67","0.821","81","0.531","321","0.433","0.626","0.647","9","2.3","1.2","0.6","0.1","0.5","11.3","10.2","12.5","6.5","128.3","110.5"
"223","Royce O'Neale","Bro","F","29.8","66","32.2","13.4","15.8","59","0.729","155","0.368","362","0.395","0.525","0.54","8.9","5","3.7","0.9","0.6","1.5","13.9","12.6","17.6","6.8","108.4","108.4"
"224","Cedi Osman","Cle","F","27.9","67","20.6","18.2","8.8","96","0.688","197","0.584","277","0.357","0.556","0.574","8.9","2.3","1.5","0.5","0.1","0.7","11.1","10.3","12.6","6.1","114.4","107.2"
"225","Jalen Duren","Det","C","19.3","57","24.8","13.9","17.9","128","0.617","333","0.637","2","0","0.633","0.643","8.8","8.9","1.1","0.6","0.9","1.3","17.7","10","18.8","7.1","126.5","107.8"
"226","AJ Griffin","Atl","F","19.6","61","19.4","17.7","7.1","36","0.889","227","0.551","219","0.384","0.563","0.578","8.8","2","1","0.6","0.1","0.6","10.8","9.7","11.8","5.4","115.1","114.4"
"227","Aleksej Pokusevski","Okc","C","21.2","31","21.9","18.4","14.4","33","0.636","142","0.486","101","0.376","0.519","0.53","8.8","5.1","2","0.6","1.3","1.3","13.9","10.8","15.9","8.2","107.1","108"
"228","Dennis Smith Jr.","Cha","G","25.3","49","25.5","17.3","15.1","96","0.74","308","0.484","95","0.221","0.448","0.485","8.8","3","4.7","1.4","0.5","1.5","11.8","13.5","16.4","7.8","104.5","109.6"
"229","Deni Avdija","Was","F","22.2","67","25.9","16.2","16.5","141","0.766","290","0.528","197","0.289","0.49","0.533","8.7","6.2","2.5","0.8","0.4","1.4","15","11.2","17.4","7.9","107.2","104.5"
"230","Keita Bates-Diop","San","F","27.1","54","21.3","15.8","10.4","103","0.786","254","0.551","99","0.364","0.55","0.589","8.7","3.5","1.4","0.7","0.3","0.8","12.2","10.1","13.6","6.6","119.5","118.7"
"231","Coby White","Chi","G","23.1","60","22.4","17.2","10.4","60","0.85","175","0.509","273","0.359","0.527","0.551","8.7","2.7","2.3","0.8","0.1","0.9","11.4","11","13.6","6.8","109.9","109"
"232","Steven Adams","Mem","C","29.7","42","27","14.5","23.1","129","0.364","262","0.599","1","0","0.597","0.564","8.6","11.5","2.3","0.9","1.1","1.9","20.1","10.9","22.5","9","117.6","102.3"
"233","Walker Kessler","Uta","C","21.6","65","22.5","12.8","13.6","131","0.542","335","0.722","2","0.5","0.723","0.707","8.6","8.3","0.8","0.4","2.3","0.8","16.9","9.4","17.7","6.8","139.8","106.5"
"234","Taurean Prince","Min","F","29","44","21.4","16.8","15.8","51","0.843","144","0.569","148","0.385","0.574","0.601","8.6","2.4","1.6","0.5","0.3","1.3","11","10.2","12.6","6","108.8","108.2"
"235","Daniel Gafford","Was","F-C","24.5","67","19.8","14.8","17.5","156","0.647","315","0.746","0","0","0.746","0.744","8.5","5.4","1","0.4","1.3","1","13.9","9.5","14.9","7.2","138.1","105.6"
"236","Kevin Love","Cle","F-C","34.5","41","20","19.6","14.1","63","0.889","90","0.467","195","0.354","0.511","0.555","8.5","6.8","1.9","0.2","0.2","1.1","15.3","10.3","17.1","9.6","111.8","102.1"
"237","Shake Milton","Phi","G-F","26.5","64","20.2","18.5","15.2","95","0.832","292","0.534","126","0.405","0.556","0.592","8.5","2.5","2.8","0.3","0.1","1.2","11","11.3","13.8","7.7","116.3","110.5"
"238","Andrew Nembhard","Ind","G-F","23.2","63","26.9","15.4","16.5","47","0.787","272","0.493","227","0.339","0.5","0.516","8.5","2.7","4","1","0.2","1.6","11.2","12.5","15.2","6.7","105.2","113.1"
"239","Mason Plumlee","Lac","F-C","33","11","21.1","14.5","30.3","41","0.78","41","0.756","0","0","0.756","0.796","8.5","8.3","1.8","0.6","0.5","1.6","16.8","10.4","18.6","9.5","136.7","100.1"
"240","Gary Harris","Orl","G","28.5","39","25","12.8","9.3","28","0.893","78","0.513","174","0.425","0.599","0.619","8.4","2.1","1.3","1","0.2","0.7","10.5","9.6","11.7","4.5","121.1","110.4"
"241","Damion Lee","Pho","G-F","30.4","69","20.8","16.2","14.4","102","0.902","191","0.445","237","0.443","0.567","0.61","8.4","3.1","1.4","0.4","0.1","1","11.5","9.8","12.9","6.4","115.5","109.9"
"242","Georges Niang","Phi","F","29.7","65","19.3","17.2","9.2","35","0.857","97","0.577","326","0.414","0.611","0.624","8.4","2.4","1","0.4","0.2","0.7","10.8","9.5","11.8","5.6","116.9","107.4"
"243","Cam Reddish","Nyk","F-G","23.5","20","21.9","16.2","9.9","33","0.879","80","0.55","56","0.304","0.511","0.558","8.4","1.6","1","0.8","0.4","0.8","10","9.4","11","4.3","113.1","111.1"
"244","Robert Williams III","Bos","C-F","25.4","28","24.2","11.8","14.8","32","0.625","143","0.755","1","0","0.75","0.746","8.4","8.6","1.5","0.5","1.2","0.9","17","10","18.6","7.9","149.1","105.1"
"245","Draymond Green","Gol","F","33","62","31.5","12.9","29.1","96","0.708","285","0.596","109","0.33","0.569","0.591","8.3","7.3","6.8","1","0.8","2.6","15.7","15.1","22.4","9.4","115","106.3"
"246","Dario Saric","Okc","F","28.9","14","14.3","22.3","17.5","22","0.864","44","0.659","36","0.361","0.606","0.647","8.3","3.4","1","0.3","0","1.2","11.7","9.3","12.7","8.5","115.2","103.2"
"247","Jarred Vanderbilt","Uta","F","24","52","24.1","14.1","17.9","102","0.657","254","0.606","57","0.333","0.587","0.607","8.3","7.8","2.7","1","0.3","1.3","16.2","11","18.9","9.3","124.9","105"
"248","Grant Williams","Bos","F","24.3","67","26.7","12.8","15.5","107","0.804","160","0.531","243","0.399","0.572","0.608","8.2","4.7","1.7","0.6","0.4","1.1","12.9","9.9","14.6","6","118.1","105.5"
"249","Mark Williams","Cha","C","21.3","37","17.7","16.7","13.7","78","0.692","195","0.641","0","0","0.641","0.663","8.2","6.4","0.4","0.7","1.1","0.8","14.6","8.6","15","6.2","126.9","102.3"
"250","Matisse Thybulle","Por","G-F","26","13","29.7","10.8","9.6","4","0.5","30","0.567","55","0.418","0.606","0.605","8.1","4","1.7","1.9","1","0.7","12.1","9.8","13.8","5.1","124.1","110.4"
"251","Chris Duarte","Ind","G","25.8","45","19.8","19","10.8","72","0.847","158","0.43","173","0.318","0.455","0.499","8","2.6","1.4","0.5","0.2","0.9","10.6","9.4","12","6.2","101.2","114.6"
"252","Jaden Hardy","Dal","G","20.7","36","14","26.5","12.8","69","0.841","126","0.46","105","0.362","0.498","0.551","8","1.6","1.1","0.3","0.1","0.9","9.6","9.1","10.7","6.9","104.1","110.2"
"253","Trey Lyles","Sac","F","27.4","62","16.7","18.3","13.4","110","0.8","145","0.628","197","0.381","0.595","0.634","8","4","1","0.4","0.4","0.9","12","8.9","12.9","7.6","121.4","110"
"254","Tre Mann","Okc","G","22.1","59","18.2","20.7","10.7","50","0.74","220","0.468","238","0.319","0.474","0.491","8","2.3","1.7","0.6","0.2","0.9","10.3","9.7","12","6.9","100.4","110.1"
"255","T.J. McConnell","Ind","G","31","65","19.9","18.3","21.3","54","0.852","375","0.544","49","0.449","0.559","0.581","8","3","5.1","1.1","0.1","1.8","11","13.1","16.1","10","115.8","113.2"
"256","Terrence Ross","Orl","G-F","32.1","42","22.5","15.7","11","20","0.75","139","0.489","160","0.381","0.533","0.543","8","2","1.3","0.6","0.2","0.9","10","9.2","11.3","4.9","104.5","113.6"
"257","Jarred Vanderbilt","Lal","F","24","14","25.7","13.2","16.6","24","0.833","66","0.606","19","0.211","0.541","0.586","8","7.8","2.3","1.6","0.2","1.2","15.8","10.3","18.1","8.1","120.3","102.7"
